TIKTOK,INATTENTIVE,CongNeutE1,CongNeutE2,CongNeutE3,CongNeutE4,CongNeutE5,CongNeutE6,NeutralNeutE1,NeutralNeutE2,NeutralNeutE3,NeutralNeutE4,NeutralNeutE5,NeutralNeutE6,IncongNeutE1,IncongNeutE2,IncongNeutE3,IncongNeutE4,IncongNeutE5,IncongNeutE6,CongNegE1,CongNegE2,CongNegE3,CongNegE4,CongNegE5,CongNegE6,NeutralNegE1,NeutralNegE2,NeutralNegE3,NeutralNegE4,NeutralNegE5,NeutralNegE6,IncongNegE1,IncongNegE2,IncongNegE3,IncongNegE4,IncongNegE5,IncongNegE6
HIGH,Low,-1.46775,-1.498031,-1.455025,-1.494144,-1.487002,-1.56241,-1.120618,-1.055913,-1.085907,-1.225164,-1.359592,-1.430393,-1.414539,-1.439972,-1.386636,-1.474121,-1.446954,-1.533101,-1.53056,-1.535724,-1.341952,-1.534055,-1.505528,-1.65482,-1.22594,-1.237389,-1.194511,-1.270649,-1.209501,-1.276007,-1.473876,-1.455092,-1.394868,-1.539075,-1.500495,-1.611295
HIGH,Low,-1.227318,-1.128332,-0.929998,-0.877396,-2.149611,-2.365728,-1.068999,-0.907949,-0.874125,-0.790167,-1.599311,-2.319565,-1.112999,-1.060113,-1.035612,-0.911998,-1.755887,-2.378323,-1.213651,-1.137731,-0.957584,-0.960792,-1.610908,-2.240722,-1.076212,-1.045285,-0.982066,-0.987772,-1.553966,-2.233916,-1.107921,-0.947841,-0.94934,-0.819807,-1.55794,-2.49512
HIGH,Low,-1.678908,-1.683929,-1.658418,-1.684337,-1.868646,-2.152956,-1.575151,-1.543586,-1.614775,-1.712488,-1.83566,-2.194138,-1.745433,-1.754613,-1.788944,-1.766169,-1.757216,-2.274308,-1.995655,-1.995289,-2.012524,-2.013921,-2.001329,-2.293532,-1.736199,-1.73556,-1.740659,-1.746181,-1.726365,-2.161209,-2.034863,-2.01289,-2.044615,-2.018687,-2.023736,-2.506935
HIGH,Low,-1.210938,-1.202912,-1.057753,-1.129951,-1.872416,-2.170417,-1.009586,-0.9256,-1.002325,-1.078004,-1.61167,-2.231476,-1.132673,-1.145968,-1.15297,-1.142522,-1.503079,-2.293744,-1.254362,-1.23885,-1.204515,-1.239999,-1.054449,-2.200808,-1.091518,-1.100488,-1.074417,-1.091258,-1.023805,-2.058617,-1.292757,-1.219774,-1.265596,-1.221838,-1.212548,-2.610572
HIGH,Low,-1.372833,-1.470957,-1.14004,-1.32799,-1.975826,-2.262799,-1.058618,-1.021963,-1.039378,-1.18049,-1.719542,-2.317622,-1.434726,-1.558701,-1.461145,-1.409058,-1.689149,-2.411386,-1.482422,-1.545997,-1.414244,-1.526534,-1.358252,-2.317324,-1.199037,-1.266083,-1.178348,-1.237775,-1.181316,-2.149218,-1.470655,-1.479413,-1.434779,-1.436027,-1.484783,-2.666887
HIGH,Low,-1.228477,-1.033916,-1.112086,-0.980719,-1.899502,-2.128644,-1.088093,-0.990876,-1.113262,-1.194273,-1.711572,-2.29149,-1.331295,-1.370576,-1.461301,-1.294874,-1.661435,-2.366852,-1.147876,-1.14589,-1.323904,-1.247925,-1.296949,-2.239331,-1.097256,-1.136909,-1.184777,-1.17352,-1.171782,-2.109429,-1.194186,-1.189415,-1.38704,-1.314233,-1.386205,-2.636424
HIGH,Low,-1.472727,-1.401714,-1.103464,-1.311355,-1.831892,-2.213411,-1.114985,-1.018713,-1.320189,-1.182289,-1.589882,-2.259057,-1.442423,-1.407063,-1.146925,-1.335707,-1.537026,-2.354433,-1.634962,-1.529146,-1.299893,-1.517845,-1.341696,-2.307976,-1.350362,-1.331653,-1.18922,-1.312303,-1.209901,-2.154771,-1.486292,-1.395195,-1.182702,-1.39015,-1.339959,-2.644494
HIGH,Low,-1.969244,-1.970817,-1.969471,-1.971501,-1.967814,-1.989646,-1.961903,-1.966382,-1.955818,-1.971579,-1.940379,-2.047162,-1.826413,-1.855292,-1.833583,-1.855175,-1.758733,-1.881958,-1.330082,-1.179199,-1.269206,-0.98491,-0.937011,-1.6171,-1.30031,-1.31574,-1.246862,-1.03719,-1.064382,-1.883012,-1.383365,-1.216031,-1.329676,-1.102359,-1.152292,-2.535416
HIGH,Low,-1.550384,-1.243069,-1.442738,-1.484933,-1.970047,-2.257243,-1.335604,-1.114469,-1.180282,-1.407948,-1.554738,-2.31649,-1.551645,-1.222305,-1.674419,-1.545102,-1.658066,-2.407222,-1.62645,-1.358263,-1.612997,-1.501656,-1.158712,-1.95358,-1.513222,-1.330689,-1.457552,-1.409442,-1.179753,-2.129934,-1.572673,-1.278425,-1.62624,-1.550446,-1.374003,-2.645235
HIGH,High,-1.591796,-1.48543,-1.29188,-1.420805,-1.945992,-2.250736,-1.343477,-1.229777,-1.190712,-1.36622,-1.608429,-2.314412,-1.707158,-1.577905,-1.553695,-1.489021,-1.661468,-2.39663,-1.706863,-1.578769,-1.507792,-1.440313,-1.17374,-1.994547,-1.472683,-1.542694,-1.286778,-1.316136,-1.191141,-2.145122,-1.696079,-1.551232,-1.558676,-1.554952,-1.433432,-2.665187
HIGH,High,-1.599826,-1.47227,-1.260648,-1.372793,-1.98318,-2.254391,-1.327415,-1.21161,-1.165551,-1.353512,-1.649148,-2.331891,-1.502518,-1.501196,-1.519754,-1.393675,-1.689806,-2.411559,-1.842299,-1.788241,-1.515061,-1.421986,-1.141576,-1.978392,-1.284192,-1.476389,-1.229331,-1.259479,-1.184831,-2.14071,-1.508388,-1.429693,-1.427285,-1.399755,-1.440513,-2.667536
HIGH,High,-0.911629,-0.688612,-1.289157,-1.380576,-1.973244,-2.299866,-0.98935,-0.812429,-1.081812,-1.231323,-1.60195,-2.297335,-0.905775,-0.69406,-1.345772,-1.391179,-1.719814,-2.389683,-0.951251,-0.716852,-1.300334,-1.441414,-1.302768,-1.741625,-0.996788,-0.828103,-1.159227,-1.230083,-1.146772,-1.866642,-0.994935,-0.756219,-1.304603,-1.354273,-1.406492,-2.656175
HIGH,High,-1.407032,-1.221431,-1.661615,-1.443582,-2.045758,-2.404759,-1.150705,-1.033961,-1.181263,-1.268708,-1.687662,-2.377751,-1.469087,-1.307376,-1.699062,-1.415938,-1.812788,-2.491311,-1.220469,-1.088687,-1.561284,-1.470107,-1.381987,-1.98309,-1.20801,-1.165598,-1.293527,-1.263328,-1.210759,-1.948701,-1.426494,-1.317502,-1.567299,-1.392246,-1.345342,-2.264023
HIGH,High,-1.747049,-1.734402,-1.657298,-1.671797,-2.110815,-2.413521,-1.182439,-1.080606,-1.101969,-1.372788,-1.510629,-2.45205,-1.58327,-1.510274,-1.632717,-1.599403,-1.799369,-2.486472,-1.736988,-1.725733,-1.711118,-1.811777,-1.633201,-2.015074,-1.351704,-1.355811,-1.257328,-1.346504,-1.217771,-1.954215,-1.714322,-1.669655,-1.649367,-1.637841,-1.546989,-2.2657
HIGH,High,-1.57728,-1.629823,-1.508977,-1.586213,-2.052091,-2.357587,-1.114724,-1.035261,-1.115589,-1.322133,-1.431398,-2.393434,-1.438965,-1.430402,-1.468225,-1.528182,-1.67596,-2.435634,-1.558011,-1.613825,-1.392047,-1.683386,-1.204363,-1.893279,-1.232332,-1.251062,-1.157468,-1.244568,-1.07957,-1.87862,-1.545838,-1.528518,-1.457417,-1.518882,-1.376163,-2.19141
HIGH,High,-1.401246,-1.384466,-1.361216,-1.321949,-2.023292,-2.272585,-1.020817,-0.942945,-1.019037,-1.175244,-1.303239,-2.236116,-1.355209,-1.359864,-1.328166,-1.348538,-1.299207,-1.345079,-1.405861,-1.376198,-1.397519,-1.427691,-1.35471,-1.669748,-1.18067,-1.191941,-1.172771,-1.186195,-1.157688,-1.169258,-1.437865,-1.413814,-1.414083,-1.387634,-1.368005,-1.928718
HIGH,High,-1.712854,-1.458937,-1.658658,-1.673004,-2.055176,-2.358294,-1.207855,-1.098224,-1.142116,-1.372272,-1.449231,-2.409291,-1.680308,-1.474569,-1.625012,-1.620676,-1.479512,-1.665097,-1.630168,-1.407666,-1.556878,-1.668349,-1.453154,-1.813692,-1.385863,-1.328002,-1.291641,-1.320583,-1.179044,-1.253695,-1.680671,-1.446478,-1.638337,-1.596279,-1.520906,-2.074624
HIGH,High,-1.882641,-1.591963,-1.813295,-1.764337,-2.08606,-2.398129,-1.223263,-1.067802,-1.222183,-1.375765,-1.553236,-2.444989,-1.810924,-1.625179,-1.74346,-1.641209,-1.576973,-1.693542,-1.860715,-1.654722,-1.794863,-1.828699,-1.676475,-1.944037,-1.414912,-1.330356,-1.367041,-1.276398,-1.241595,-1.26426,-1.995314,-1.828928,-2.004955,-1.698872,-1.837335,-2.330696
HIGH,High,-1.346821,-1.365989,-1.293705,-1.347364,-1.989158,-2.304224,-1.025262,-0.951033,-1.013737,-1.207159,-1.349389,-2.336904,-1.2786,-1.320726,-1.226955,-1.327632,-1.225954,-1.345985,-1.463606,-1.513095,-1.422581,-1.739076,-1.433127,-1.801638,-1.175172,-1.209445,-1.131483,-1.167669,-1.116775,-1.169324,-1.124131,-1.322786,-1.100904,-1.287561,-1.147688,-1.924459
