"AY","semester","emplid_ID","GPA","CREDITS","DEGREE","zip_code","birth_year","birth_sex","gender_id","sexual_oriental","enrollment_status","Major","gpa_by_student","college_year","ethnicity","other_home_language","transfer","international_student","relationship_status","annual_household_income","personal_weekly_income","future_personal_annual_income","college_salary_greater","age"
2024,"Fall",24105167,3.398,175,"BA",11358,2004,"Female","Female","Asexual","Full-time (12 credits or more)","Declared: Psychology, Economics",3.701,"3rd year undergraduate","Asian","Yes","No","No","Single",NA,"$401-$600","$100,000 to $150,000","40%-60%",22
2024,"Fall",24132676,3.647,121,"BA",11229,2004,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Business Administration And Management",3.5,"3rd year undergraduate","White or Caucasian","Yes","Yes","No","Single","$100,000 to $150,000","$401-$600","Greater than $300,000","40%-60%",22
2024,"Fall",24136789,3.128,92,"BS",11234,2004,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",3.1,"2nd year undergraduate","Multiracial","No","No","No","Single","$100,000 to $150,000","$200 or less","$60,000 to $99,999","20%-40%",22
2024,"Fall",24138816,4,122,"BA",10474,2004,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",4,"4th year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$60,000 to $99,999","40%-60%",22
2024,"Fall",24150303,3.639,133,"BA/MA",10027,2003,"Male","Male","Asexual","Full-time (12 credits or more)","Declared: Psychology",3.7,"4th year undergraduate","White or Caucasian","No","No","No","Dating/In A Relationship","Greater than $300,000","Currently Unemployed","$100,000 to $150,000","20%-40%",23
2024,"Fall",24152934,2.006,25,"BA",10462,2000,"Male","Male","Heterosexual (as in ""straight"")","Part-time (Fewer than 12 credits)","Undeclared: Computer Science",2.4,"2nd year undergraduate","Asian","Yes","No","No","Single",NA,"$201-$400","$60,000 to $99,999","60%-80%",26
2024,"Fall",24154756,3.082,83,"BA",11372,2004,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Bio",2.7,"3rd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$60,000 to $99,999","80%-100%",22
2024,"Fall",24166837,3.075,63,"BA",11385,2003,"Female","Female","Homosexual (as in ""lesbian"" or ""gay"")","Full-time (12 credits or more)","Declared: Psychology",2.8,"2nd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single","$60,000 to $99,999","$201-$400","$60,000 to $99,999","20%-40%",23
2024,"Fall",24174433,3.436,129,"BS",11432,2003,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",3.2,"3rd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$60,000 to $99,999","20%-40%",23
2024,"Fall",24177726,3.676,132,"BA",11421,2003,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Management And Administration",3.589,"4th year undergraduate","Asian","No","No","No","Single",NA,"$200 or less","$60,000 to $99,999","20%-40%",23
2024,"Fall",24182097,2.679,115,"BA",10454,2003,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",2.5,"3rd year undergraduate","Black or African American","Yes","No","No","Single",NA,"$200 or less","$100,000 to $150,000","40%-60%",23
2024,"Fall",24198084,3.316,123,"BS",10704,2003,"Female","Female","Bisexual","Full-time (12 credits or more)","Declared: Psychology",3.2,"4th year undergraduate","Black or African American","Yes","No","No","Single","$60,000 to $99,999","Currently Unemployed","$100,000 to $150,000","20%-40%",23
2024,"Fall",24209825,3.876,131,"BS",11370,2003,"Female","Female","Bisexual","Full-time (12 credits or more)","Declared: Psychology",3.878,"4th year undergraduate","Asian","Yes","No","No","Single",NA,"$200 or less","$150,001 to $299,999","80%-100%",23
2024,"Fall",24217733,3.217,111,"BA",11417,2003,"Female","Female","Asexual","Full-time (12 credits or more)","Declared: Psychology",3.3,"3rd year undergraduate","Asian","Yes","No","No","Single","$60,000 to $99,999","$200 or less","Less than 60,000","20%-40%",23
2024,"Fall",24232303,3.46,64,"BE",11421,2005,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Mechanical Engineering",4,"1st year undergraduate","Asian","Yes","No","No","Single",NA,"Currently Unemployed","$60,000 to $99,999","60%-80%",21
2024,"Fall",24233464,2.84,90,"BA",10011,2003,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",3,"2nd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single","$60,000 to $99,999","$201-$400","$100,000 to $150,000","60%-80%",23
2024,"Fall",24236087,3.488,109,"BA",11377,2004,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Communications Ad/Pr",3.5,"3rd year undergraduate","Middle Eastern or North African","Yes","No","No","Single","$60,000 to $99,999","$201-$400","$100,000 to $150,000","20%-40%",22
2024,"Fall",24241184,3.099,128,"BS",10027,2005,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Biomedical Sciences",3,"3rd year undergraduate","Middle Eastern or North African","No","No","No","Single",NA,"$200 or less","$100,000 to $150,000","60%-80%",21
2024,"Fall",24245577,4,12,"BA",11210,2003,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",3,"1st year undergraduate","White or Caucasian","Yes","Yes","Yes","Single",NA,"$200 or less","$100,000 to $150,000","60%-80%",23
2024,"Fall",24252310,3.422,60,"BE",11213,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Computer Science",0,"1st year undergraduate","Black or African American","No","No","No","Single","$100,000 to $150,000","Currently Unemployed","$100,000 to $150,000","20%-40%",20
2024,"Fall",24261005,2.3,30,"BS",11236,2005,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Biology",3,"1st year undergraduate","Black or African American","Yes","No","No","Single","$60,000 to $99,999","$200 or less","$150,001 to $299,999","60%-80%",21
2024,"Fall",24263511,1.25,45,"BA",11420,2003,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Biology",1.5,"3rd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"Currently Unemployed","$60,000 to $99,999","0%-20%",23
2024,"Fall",24265992,3.5,121,"BS",11211,2000,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Biotechnology",0,"2nd year undergraduate","Asian","Yes","Yes","No","Married","$150,001 to $299,999","Currently Unemployed","$100,000 to $150,000","40%-60%",26
2024,"Fall",24270973,2.667,58,"BA",11377,2004,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Economics",3.2,"3rd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","Greater than $300,000","20%-40%",22
2024,"Fall",24271455,2.327,65,"BE",11369,2005,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Mech",3,"1st year undergraduate","Multiracial","Yes","No","No","Single",NA,"$200 or less","Less than 60,000","0%-20%",21
2024,"Fall",24272672,3.122,59,"BA",11373,2006,"Female","Female","Uncertain/Questioning","Full-time (12 credits or more)","Declared: Digital Design",2.8,"2nd year undergraduate","Asian","Yes","No","No","Single",NA,"$201-$400","Less than 60,000","40%-60%",20
2024,"Fall",24274812,3.141,99,"BE",10031,2004,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Civil Engineering",3.3,"3rd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$100,000 to $150,000","40%-60%",22
2024,"Fall",24275387,2.996,120,"BA",10452,2004,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Sociology",2.7,"3rd year undergraduate","Hispanic, Latino or Spanish Origin","No","No","No","Single",NA,"$200 or less","$60,000 to $99,999","60%-80%",22
2024,"Fall",24276873,3.104,87,"BA",10451,2004,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Communications",3.5,"3rd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","Yes","No","Single",NA,"$401-$600","$100,000 to $150,000","60%-80%",22
2024,"Fall",24283815,3.048,104,"BA",11368,2004,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Media And Communications",2.75,"3rd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$401-$600","Less than 60,000","20%-40%",22
2024,"Fall",24284425,3.189,69,"BS",11230,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Biology",3,"1st year undergraduate","Asian","Yes","No","No","Single",NA,"$200 or less","$150,001 to $299,999","40%-60%",20
2024,"Fall",24292524,3.348,70,"BA",10462,2004,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",2.6,"2nd year undergraduate","Asian","Yes","No","No","Single",NA,"Currently Unemployed","$100,000 to $150,000","20%-40%",22
2024,"Fall",24292545,3.423,157,"BS",11580,2004,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Double: Biomedical Science & Psychology",3.544,"3rd year undergraduate","Black or African American","No","No","No","Single","$150,001 to $299,999","$200 or less","$60,000 to $99,999","40%-60%",22
2024,"Fall",24293510,4,136,"BA",11580,2004,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",4,"3rd year undergraduate","Some other race, ethnicity or origin","No","No","No","Single",NA,"$201-$400","$60,000 to $99,999","40%-60%",22
2024,"Fall",24293614,2.307,106,"BA",10460,2003,"Male","Non-binary","Asexual","Full-time (12 credits or more)","Declared: Theater",2,"3rd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$201-$400","$100,000 to $150,000","60%-80%",23
2024,"Fall",24297026,3.92,134,"BS",11362,2004,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Biochemistry",3.892,"3rd year undergraduate","White or Caucasian","Yes","No","No","Single","$60,000 to $99,999","$200 or less","$100,000 to $150,000","40%-60%",22
2024,"Fall",24304758,3.4,126,"BA",11050,2004,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",3.193,"3rd year undergraduate","Asian","Yes","No","No","Single",NA,"$200 or less","Greater than $300,000","60%-80%",22
