User Unique ID,Training Title,Training Locator Number,Training Start Date
43797410-bf8e-4765-a48c-b6896d7827e4,Understanding and Undoing Implicit Bias (Virtual ILT),12402,3/3/22 9:15
aaa092b8-c708-4de5-8ce7-a0bb5da26149,Understanding and Undoing Implicit Bias (Virtual ILT),12402,3/3/22 9:15
0138acc7-e403-4edd-811c-87900bc14382,Understanding and Undoing Implicit Bias (Virtual ILT),12402,3/3/22 9:15
1973054b-20f8-443f-9927-59272d483373,Understanding and Undoing Implicit Bias (Virtual ILT),12402,3/3/22 9:15
5d262ffd-1f64-4649-b4e2-a470448a092d,Understanding and Undoing Implicit Bias (Virtual ILT),12402,3/3/22 9:15
2626cdcc-5568-41db-9cea-539f7d62ff33,Understanding and Undoing Implicit Bias (Virtual ILT),12402,3/3/22 9:15
ab9647b9-ac6e-4db2-ba5d-9b1cc3f66d25,Understanding and Undoing Implicit Bias (Virtual ILT),12402,3/3/22 9:15
360b071a-0bfa-4e81-9d33-68b087710e0f,Understanding and Undoing Implicit Bias (Virtual ILT),12402,3/3/22 9:15
f1550cbd-0203-4677-9371-5cdff1860189,Understanding and Undoing Implicit Bias (Virtual ILT),12402,3/3/22 9:15
edb2dd7f-cb67-450e-8081-45f0e3285817,Understanding and Undoing Implicit Bias (Virtual ILT),12402,3/3/22 9:15
1bb7b96c-b688-44c6-9155-51e057e2661d,Understanding and Undoing Implicit Bias (Virtual ILT),12402,3/3/22 9:15
1f97e241-1b91-4c5b-bf1e-09b4871e20dd,Understanding and Undoing Implicit Bias (Virtual ILT),12402,3/3/22 9:15
0b938eff-fd5d-43de-a796-b918af7f5469,Understanding and Undoing Implicit Bias (Virtual ILT),12404,3/15/22 9:15
f91eb599-269a-4cbb-8ee6-3fb9b28916e7,Understanding and Undoing Implicit Bias (Virtual ILT),12404,3/15/22 9:15
3be7370b-f151-44cf-9d0c-3b3c76575fb1,Understanding and Undoing Implicit Bias (Virtual ILT),12404,3/15/22 9:15
3acc0d6d-4dbf-4d20-9f50-0332a47eebb1,Understanding and Undoing Implicit Bias (Virtual ILT),12404,3/15/22 9:15
5c3af263-2a0c-4132-b59f-2b1319c2d21a,Understanding and Undoing Implicit Bias (Virtual ILT),12404,3/15/22 9:15
45aea739-83ae-4afd-a76b-5b32165b755e,Understanding and Undoing Implicit Bias (Virtual ILT),12404,3/15/22 9:15
74da7f5a-f40e-4f0d-b1fd-ce1bf20815e4,Understanding and Undoing Implicit Bias (Virtual ILT),12404,3/15/22 9:15
08d47312-62d0-490c-8faf-992383bcccf7,Understanding and Undoing Implicit Bias (Virtual ILT),12404,3/15/22 9:15
9128933c-4a94-4bc4-bcf3-da46ee759b13,Understanding and Undoing Implicit Bias (Virtual ILT),12404,3/15/22 9:15
b79e65cd-eeec-49c6-8323-eba7f817c6cd,Understanding and Undoing Implicit Bias (Virtual ILT),12404,3/15/22 9:15
