emplid_ID,GPA,CREDITS,DEGREE
24431649,3.324,84,BS
24029323,2.833,122,BA
24426307,3.107,87,BS
24439597,3.62,63,BSED
23923788,3.679,120,BA
23956707,2.803,123,BS
24451799,3.31,30,BE
24275502,3.961,120,BS
24299450,2.965,104,BA
24458868,3.126,92,BA
24400980,3.37,38,BA
24483752,3.552,87,BA
24402780,2.537,21,BE
24127957,3.101,141,BS
24457443,2.87,51,BA
23601928,2.344,121,BA
24012097,3.863,131,BA
24041175,3.56,84,BA
24035141,3.951,120,BA
24134106,3.173,121,BS
24485127,3.803,124,BA
24137719,3.154,98,BA
24108405,3.747,122,BS
24328550,3.765,108,BS
24199104,2.582,118,BA
24203891,3.503,52,BA
24137296,3.762,103,BA
24433008,3.089,77,BS
24022899,3.278,138,BS
23911077,3.434,128,BA
23998986,2.935,121,BS
24015870,3.212,120,BA
24190789,2.715,134,BS
24278937,3.811,98,BA/MA
24128239,,,
24108859,2.568,86,BA
24503132,3.351,37,MA
24058221,3.981,120,BS
23762347,3.155,121,BA
24174284,3.233,122,BA
24035127,3.274,121,BS
24186614,3.415,121,BS
23492929,3.7,93,BS
24343964,3.877,122,BA
24029739,3.298,125,BA
24172407,2.617,124,BS
23466128,3.333,99,BS
24572491,1.925,16,BA
24591274,3.364,89,BS
24177726,3.676,132,BA
24352349,3.204,93,BS
24567190,3.9,82,BS
24547711,3.614,21,BE
24209825,3.876,131,BS
24241184,3.099,128,BS
24132676,3.647,121,BA
24297026,3.92,134,BS
24547201,2.566,33,BS
24284425,3.189,69,BS
24576289,3.55,114,BS
24625313,3.381,101,BA
24433407,0,3,BS
24549338,4,55,BBA
24383512,3.838,66,BE
24521327,3.732,25,BA
24492143,3.628,64,BA
24044589,3.228,121,BS
24420262,3.016,31,BA
24545381,3.761,97,BS
23980174,3.302,120,BA
24569864,3.45,80,BS
24396125,2.432,42,BA
24532176,3.461,91,BS
24605226,3.958,76,BS
24417277,2.857,72,BSED
24427737,3.5,48,BA
23490894,2.971,115,BS
23911725,2.495,130,BS
24339573,3.249,123,BS
24174433,3.436,129,BS
24413374,3.862,95,BS
24535497,3.455,51,BA
24523112,2.655,68,BE
24307591,3.874,126,BE
24522682,3.416,75,BA
24397357,3.494,85,BA
24512263,3.111,63,BS
24529122,2.65,55,BE
24599794,3.042,55,BS
23964685,2.663,122,BA
24441237,,,
24315404,4,120,BS
24448169,2.91,53,BS
24578700,4,63,BS
24592340,3.711,57,BS
24526118,3.175,21,BA
24152934,2.006,25,BA
24094908,3.585,84,BA
24477003,3.337,61,BS
24550553,2.333,15,BA
24594837,3.492,71,BS
24586060,4,96,BA
24504058,3.47,62,BA
24283815,3.048,104,BA
24620851,3.454,57,BA
24488502,3.223,66,BE
24318339,2.645,49,BA
24265992,3.5,121,BS
24542217,2.96,39,BA
24232303,3.46,64,BE
24525200,3.633,60,BS
24592462,3.625,58,BE
23262772,3.903,120,BA
24558267,3.822,40,BE
24445449,3.004,66,BS
24448240,3.964,55,BA
24318443,4,12,BS
24365015,3.593,66,BE
24375857,3.586,72,BE
24387825,2.877,67,BA
24314307,2.96,30,BA
24067690,3.731,105,BA
24525664,3.916,62,BA
23965625,3.533,120,BS
24066764,3.533,75,BA
24544204,3.593,61,BS
24553273,2.366,59,BE
24432912,3.552,52,BS
24544666,3.79,62,BA
23790458,3.085,114,BS
24450059,,,
24219441,,,
24233464,2.84,90,BA
24409962,3.763,65,BA
24198084,3.316,123,BS
24252310,3.422,60,BE
24577040,3.283,18,BS
24426331,2.337,51,BS
24570974,3.966,52,BS
24361692,3.44,69,BE
24359092,3.396,58,BS
24561549,3.45,56,BA
24314225,3.825,24,BA
24318406,2.789,66,BA
24318397,3.107,74,BS
24523409,2.777,51,BE
24333258,2.727,95,BA
24417041,3.008,67,BS
24409348,1.808,46,BA
24020747,2.3,72,BA
24361967,3.92,72,BE
24556270,3.037,42,BA
24564409,3.075,60,BE
24527412,3.75,58,BSED
24304758,3.4,126,BA
24101371,3.11,47,BS
24512572,1.333,3,BS
24521723,3.577,68,BA
24334822,3.433,100,BA
24528066,3.677,68,BS
24518972,3.608,59,BE
24586170,1.716,24,BA
23760247,3.426,120,BA
24327283,3.553,106,BA
24525234,3.912,54,BA
24306434,3.685,124,BS
23956988,2.664,120,BA
24590664,2.888,45,BA
24332562,2.884,70,BA
24539514,3.757,63,BS
24427677,3.315,89,BA
24508229,3.75,15,BA
24182097,2.679,115,BA
24360417,4,68,BA
24595566,2.758,35,BE
24432917,3.475,66,BSED
24263511,1.25,45,BA
24536105,3.107,52,BA
24480567,3.453,120,BA
24550481,3.342,43,BE
24448912,1.614,29,BA
24527401,3.581,58,BA
24368264,2.925,61,BFA
24293510,4,136,BA
24400981,3.553,61,BE
24554083,3.61,30,BA
24553700,3.833,18,BA
23805195,3.596,120,BA
24488733,3.251,58,BA
24326473,3.716,81,BA
24585479,3.451,46,BE
24550867,3.422,61,BA
24604218,2.7,48,BA
24434574,3.112,85,BFA
24292524,3.348,70,BA
24619857,3.533,70,BA
24365498,3.233,68,BA
24245577,4,12,BA
24525823,3.925,43,BA
24393532,2.837,64,BA
24154756,3.082,83,BA
12057307,2.928,121,BA
24373663,3.666,63,BA
24570918,2.716,18,BA
24529998,3.416,72,BM
24342656,3.711,69,BA
24471701,3.976,67,BA
24001409,3.038,126,BS
24271455,2.327,65,BE
24342565,,,
24398459,3.35,33,BA
24582166,3.572,66,BE
24543300,3.362,63,BA
24085978,3.385,30,BA
24318954,3.645,64,BE
